brand,campaign,athlete,ig_handle,drive_content_folder_url,match_confidence
CVS,Fall ExtraCare x Epic,Jared Curtis,jcurtis.2,https://drive.google.com/drive/folders/10myPdSCSiYJEQTV9pk5AXVJmNjS9VQ2h,exact
CVS,Fall ExtraCare x Epic,Teagan Kavan,teagankavan,https://drive.google.com/drive/folders/1v_5Pe-GM94SycuCGrRYrJ82pp2i176uV,pair (2)
CVS,Fall ExtraCare x Epic,Isa Torres,isatorres_3,https://drive.google.com/drive/folders/1v_5Pe-GM94SycuCGrRYrJ82pp2i176uV,pair (2)
CVS,Fall ExtraCare x Epic,Hezly Rivera,hezrivera,https://drive.google.com/drive/folders/1zDupltAmROe5-tHfm3y4O7uwr1OYdSMa,exact
CVS,Fall ExtraCare x Epic,Audi Crooks,audicrooks55,https://drive.google.com/drive/folders/1w3ZUnZOP7U8Zn0G8X8RL7W9SRZZwajQo,exact
CVS,Fall ExtraCare x Epic,Maxi Adams,maximoadams_,https://drive.google.com/drive/folders/1tjxty5nve2Xh5HmVyisaFwSQZHlwT8w9,exact
CVS,Fall ExtraCare x Epic,Kamario Taylor,kyo1k._,https://drive.google.com/drive/folders/1ntavF7BNb_9hmR0paAOG5zqXQe4SIw2y,exact
CVS,Fall ExtraCare x Epic,Joscelyn Roberson,josc_roberson,https://drive.google.com/drive/folders/1eZtWNF_U4cLd7GOxNpLbnbQPCp_TLKb0,exact
CVS,Fall ExtraCare x Epic,Nate Frazier,veryrarenate_,https://drive.google.com/drive/folders/1FRRH0QfdgjdToidaNDaMSvsy6WpeaSC4,exact
CVS,Fall ExtraCare x Epic,Duce Robinson,duceyf,https://drive.google.com/drive/folders/1jzg_IFHIHiFDTokxB4m81l-95pRBVF-5,exact
CVS,Fall ExtraCare x Epic,Kailin Chio,kailin_chio,https://drive.google.com/drive/folders/1BpTQXx0RG3u_5ZLagJ6ZCPoZI3fTdjQ-,exact
CVS,Fall ExtraCare x Epic,Avery Johnson,averyjohnson232,https://drive.google.com/drive/folders/1YuzujZd7mgSeclKYgViXJyJcrUH--3lG,exact
CVS,Fall ExtraCare x Epic,Hilton Alexander,deuce2____,https://drive.google.com/drive/folders/18TC6HJ2qhp5yonHoCAmpapnNjfzk6BGc,exact
CVS,Fall ExtraCare x Epic,Mearah O'neal,mearahoneal_,https://drive.google.com/drive/folders/1vXdrPEvYXGjJjGdOnn2op3q4qAMWtxrg,exact
CVS,Fall ExtraCare x Epic,Olivia Olson,olivia.olson44,https://drive.google.com/drive/folders/1HGxWUDhlV5PfOTOUzcXaiUInx7B7P1qi,exact
CVS,Fall ExtraCare x Epic,Rocco Becht,rocco_becht3,https://drive.google.com/drive/folders/1hZBYStdmfDprQyoe6GnO04mwIkxJa8ty,exact
